_id,subject,status
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-03,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390054_grade-01,South Carolina Academic Standards for the Visual and Performing Arts - Visual Arts - Visual and Performing Arts (2010-2017) - Visual Arts: Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2389542_grade-07,South Carolina Social Studies Academic Standards - Social Studies (2011-2020) - Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2389542_grade-08,South Carolina Social Studies Academic Standards - Social Studies (2011-2020) - Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-01,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 1,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-07,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-08,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 8,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-03,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392807_grade-06,South Carolina Academic Standards for the Visual and Performing Arts - Media Arts - Visual and Performing Arts (2010-2017) - Media Arts: Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-04,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 4,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-07,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade 7,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2433620_grade-03,Common Core State Standards for Mathematics - Common Core Math (2010-2015) - Grade 3,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2392327_grade-06,South Carolina Academic Standards for the Visual and Performing Arts - Choral Music - Visual and Performing Arts (2010-2017) - Choral Music: Grade 6,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390545_grade-05,South Carolina Academic Standards for the Visual and Performing Arts - Dance - Visual and Performing Arts (2010-2017) - Dance: Grade 5,Deprecated
033B7F9D29D84F09AF312E83F31AE348_D2390395_grade-k,South Carolina Academic Standards for the Visual and Performing Arts - Theatre - Visual and Performing Arts (2010-2017) - Theater: Grade K,Deprecated
